Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1
World Economic Outlook,Annual percent change,W512PCPI%,AFGHANISTAN,Inflation,25.51,25.51,-12.52,-10.68,10.23,11.85,0.60,7.65,-2.15,9.90,12.56,21.50,16.54,19.63,27.39,9.68,-8.70,18.19,29.21,89.80,157.80,166.02,58.19,33.99,20.01,14.00,14.01,14.01,14.01,n.a.,n.a.
World Economic Outlook,Annual percent change,W914PCPI%,ALBANIA,Inflation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.79,225.23,85.01,22.61,7.80,12.70,33.20,20.70,7.10,5.50
World Economic Outlook,Annual percent change,W612PCPI%,ALGERIA,Inflation,6.60,2.63,3.66,6.17,4.73,8.96,8.88,12.10,17.17,11.45,9.67,14.61,6.59,7.84,6.31,10.43,14.01,5.86,5.94,9.17,16.69,25.90,31.70,20.50,29.00,29.80,18.69,6.79,6.22,7.00,7.00
World Economic Outlook,Annual percent change,W614PCPI%,ANGOLA,Inflation,7.97,5.78,15.80,15.67,27.42,29.00,80.70,69.01,48.46,101.30,46.71,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,83.60,299.10,1379.48,949.77,2671.58,4147.01,111.16,77.66,n.a.,n.a.
World Economic Outlook,Annual percent change,W311PCPI%,ANTIGUA AND BARBUDA,Inflation,8.87,8.63,12.67,21.72,12.97,8.61,15.62,13.75,6.15,16.33,19.00,11.47,4.17,2.35,3.84,1.00,0.50,3.60,6.80,4.36,6.52,4.59,3.00,3.10,3.45,2.73,3.46,1.16,1.16,n.a.,n.a.
World Economic Outlook,Annual percent change,W213PCPI%,ARGENTINA,Inflation,13.55,34.78,58.41,61.21,23.47,182.90,444.00,176.00,175.50,159.50,100.80,104.50,162.57,343.80,626.73,672.16,90.10,131.30,343.00,3080.50,2314.70,171.70,24.90,10.60,4.20,3.40,0.20,0.80,0.88,0.64,0.90
World Economic Outlook,Annual percent change,W911PCPI%,ARMENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,100.30,824.50,3731.80,5273.40,176.70,18.70,14.00,8.68,9.88,7.12
World Economic Outlook,Annual percent change,W193PCPI%,AUSTRALIA,Inflation,-15.97,5.97,6.04,9.24,15.30,15.18,13.35,12.32,7.95,6.36,8.97,9.47,10.45,8.60,5.87,6.96,9.71,8.50,4.59,7.55,6.81,3.87,2.51,2.03,2.04,2.68,2.72,1.67,1.58,1.50,1.61
World Economic Outlook,Annual percent change,W122PCPI%,AUSTRIA,Inflation,4.36,4.70,6.30,7.60,9.50,8.40,7.30,5.50,3.60,3.71,6.33,6.81,5.44,3.34,5.66,3.19,1.74,1.41,1.91,0.81,3.26,3.34,4.02,3.63,2.96,2.24,1.86,1.30,0.90,1.00,1.30
World Economic Outlook,Annual percent change,W912PCPI%,AZERBAIJAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7.80,105.60,912.57,1129.70,1664.40,411.70,19.80,3.69,-0.80,-6.39,3.00
World Economic Outlook,Annual percent change,W313PCPI%,BAHAMAS,Inflation,6.15,4.61,6.77,5.48,13.30,10.21,4.23,3.09,6.12,9.01,12.23,11.05,6.10,4.00,3.97,4.62,5.41,5.99,4.05,5.41,4.56,7.10,5.71,2.75,1.30,2.10,1.40,1.20,1.76,n.a.,n.a.
